"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","215.19","213.10","215.77","212.96","8.84M","2.06%"
"07/29/2024","210.85","212.65","213.61","210.54","6.53M","-0.65%"
"07/26/2024","212.24","209.24","213.16","208.62","8.03M","1.71%"
"07/25/2024","208.67","208.65","210.19","208.05","6.40M","0.04%"
"07/24/2024","208.59","209.55","212.03","208.07","7.12M","-0.83%"
"07/23/2024","210.33","211.02","211.48","209.35","5.56M","0.02%"
"07/22/2024","210.28","210.46","212.17","209.71","7.66M","0.24%"
"07/19/2024","209.78","211.20","212.35","208.92","8.10M","-0.10%"
"07/18/2024","209.98","215.63","216.63","209.24","12.42M","-3.18%"
"07/17/2024","216.87","213.80","217.56","213.27","11.57M","1.52%"
"07/16/2024","213.62","210.00","213.74","208.08","11.56M","1.70%"
"07/15/2024","210.05","207.19","211.61","206.72","10.72M","2.49%"
"07/12/2024","204.94","204.00","207.45","202.10","15.44M","-1.21%"
"07/11/2024","207.45","206.21","208.10","205.38","10.67M","-0.17%"
"07/10/2024","207.80","206.14","207.97","205.58","8.33M","0.08%"
"07/09/2024","207.63","205.63","209.76","205.45","9.06M","1.20%"
"07/08/2024","205.17","205.04","206.90","203.97","8.71M","0.19%"
"07/05/2024","204.79","206.99","207.37","204.52","8.09M","-1.87%"
"07/03/2024","208.69","209.55","210.38","207.65","5.56M","-0.07%"
"07/02/2024","208.83","205.29","208.86","204.77","7.80M","1.65%"
"07/01/2024","205.45","202.84","207.09","202.66","10.21M","1.58%"
"06/28/2024","202.26","200.01","202.60","199.30","15.31M","1.55%"
"06/27/2024","199.17","197.44","199.86","196.90","7.91M","0.88%"
"06/26/2024","197.43","197.45","197.94","196.27","7.76M","-0.32%"
"06/25/2024","198.07","198.09","200.07","197.74","6.92M","-0.41%"
"06/24/2024","198.88","197.81","199.23","197.10","9.79M","1.31%"
"06/21/2024","196.30","196.71","197.17","194.22","20.97M","-1.19%"
"06/20/2024","198.67","196.39","199.45","196.11","8.73M","0.85%"
"06/18/2024","197.00","194.60","197.96","194.13","9.02M","1.04%"
"06/17/2024","194.98","193.48","195.58","192.64","8.73M","0.62%"
"06/14/2024","193.78","191.45","194.86","191.42","6.87M","0.06%"
"06/13/2024","193.66","192.32","194.58","190.88","8.59M","1.11%"
"06/12/2024","191.53","196.00","196.72","191.31","12.75M","-1.46%"
"06/11/2024","194.36","197.91","197.94","193.60","9.24M","-2.63%"
"06/10/2024","199.61","199.24","200.84","198.44","6.07M","-0.17%"
"06/07/2024","199.95","197.43","200.92","197.01","6.96M","1.54%"
"06/06/2024","196.91","197.26","198.02","195.33","7.64M","-0.18%"
"06/05/2024","197.26","199.76","199.82","196.92","8.35M","-0.95%"
"06/04/2024","199.16","200.16","201.98","198.28","6.85M","-1.32%"
"06/03/2024","201.82","202.31","202.42","199.19","6.44M","-0.40%"
"05/31/2024","202.63","199.30","203.30","198.35","14.42M","1.66%"
"05/30/2024","199.33","198.56","199.85","198.40","6.83M","0.62%"
"05/29/2024","198.11","198.00","198.99","196.89","6.12M","-0.70%"
"05/28/2024","199.50","199.86","200.41","198.66","6.91M","-0.60%"
"05/24/2024","200.71","197.75","200.76","197.56","7.36M","1.92%"
"05/23/2024","196.92","197.81","198.30","196.07","8.07M","-0.70%"
"05/22/2024","198.31","199.00","200.93","197.69","9.43M","-0.61%"
"05/21/2024","199.52","197.00","199.90","196.60","14.42M","2.01%"
"05/20/2024","195.58","204.39","205.88","195.40","17.37M","-4.50%"
"05/17/2024","204.79","203.81","205.05","202.81","9.26M","1.15%"
"05/16/2024","202.47","202.22","204.48","201.99","8.50M","0.18%"
"05/15/2024","202.11","202.01","202.69","199.77","8.37M","0.30%"
"05/14/2024","201.51","199.00","201.58","198.16","8.60M","1.40%"
"05/13/2024","198.73","198.80","199.85","198.04","7.05M","-0.02%"
"05/10/2024","198.77","198.54","199.34","198.27","7.53M","0.64%"
"05/09/2024","197.50","195.17","197.59","195.10","7.98M","0.95%"
"05/08/2024","195.65","191.00","196.65","191.00","9.23M","2.03%"
"05/07/2024","191.75","191.70","192.93","191.65","7.69M","-0.13%"
"05/06/2024","192.00","191.73","192.20","189.82","7.91M","0.78%"
"05/03/2024","190.51","192.00","192.53","188.46","8.92M","-0.60%"
"05/02/2024","191.66","193.07","193.50","189.52","6.50M","-0.10%"
