"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","463.18","467.00","472.68","456.84","11.14M","-0.54%"
"07/29/2024","465.71","469.88","473.96","465.02","11.34M","0.00%"
"07/26/2024","465.70","464.20","469.77","459.42","14.22M","2.71%"
"07/25/2024","453.41","463.26","463.55","442.65","18.24M","-1.70%"
"07/24/2024","461.27","472.30","476.30","460.58","17.65M","-5.61%"
"07/23/2024","488.69","489.84","495.22","487.72","9.46M","0.26%"
"07/22/2024","487.40","486.58","492.06","483.90","12.02M","2.23%"
"07/19/2024","476.79","476.06","486.71","475.71","15.15M","0.20%"
"07/18/2024","475.85","475.00","479.24","464.54","19.27M","3.00%"
"07/17/2024","461.99","479.17","479.17","459.12","28.08M","-5.68%"
"07/16/2024","489.79","501.50","503.95","485.79","14.08M","-1.28%"
"07/15/2024","496.16","498.63","506.68","493.37","12.54M","-0.54%"
"07/12/2024","498.87","497.76","508.09","494.23","19.75M","-2.70%"
"07/11/2024","512.70","530.89","535.46","508.37","16.46M","-4.11%"
"07/10/2024","534.69","530.79","538.88","528.36","10.98M","0.88%"
"07/09/2024","530.00","533.75","537.48","528.19","8.77M","0.13%"
"07/08/2024","529.32","542.35","542.81","526.65","14.92M","-1.96%"
"07/05/2024","539.91","511.60","540.87","511.60","21.35M","5.87%"
"07/03/2024","509.96","506.37","511.28","506.02","6.01M","0.09%"
"07/02/2024","509.50","500.76","510.50","499.45","7.74M","0.96%"
"07/01/2024","504.68","504.95","506.58","493.17","10.33M","0.09%"
"06/28/2024","504.22","517.15","521.88","503.84","15.86M","-2.95%"
"06/27/2024","519.56","514.25","522.88","513.90","10.12M","1.26%"
"06/26/2024","513.12","506.64","513.81","504.68","8.88M","0.49%"
"06/25/2024","510.60","497.05","510.71","495.50","12.11M","2.34%"
"06/24/2024","498.91","499.20","507.80","494.29","13.53M","0.83%"
"06/21/2024","494.78","503.45","503.45","492.39","23.13M","-1.38%"
"06/20/2024","501.70","502.00","503.67","496.77","11.80M","0.44%"
"06/18/2024","499.49","504.56","506.00","495.02","13.06M","-1.41%"
"06/17/2024","506.63","501.67","510.75","496.01","11.27M","0.49%"
"06/14/2024","504.16","502.65","507.15","500.75","10.24M","0.01%"
"06/13/2024","504.10","505.71","509.36","501.36","9.95M","-0.93%"
"06/12/2024","508.84","513.99","514.01","504.47","11.98M","0.27%"
"06/11/2024","507.47","500.16","507.60","498.27","9.67M","0.97%"
"06/10/2024","502.60","493.86","502.66","493.41","11.24M","1.96%"
"06/07/2024","492.96","495.91","498.91","490.17","9.38M","-0.16%"
"06/06/2024","493.76","492.98","502.82","490.89","10.67M","-0.26%"
"06/05/2024","495.06","484.45","496.65","483.91","15.69M","3.79%"
"06/04/2024","476.99","477.00","478.89","473.23","7.09M","-0.10%"
"06/03/2024","477.49","470.86","479.60","468.24","11.28M","2.28%"
"05/31/2024","466.83","465.80","469.12","454.46","16.92M","-0.05%"
"05/30/2024","467.05","471.67","471.73","464.71","10.74M","-1.54%"
"05/29/2024","474.36","474.66","479.85","473.70","9.23M","-1.16%"
"05/28/2024","479.92","476.58","480.86","474.84","10.18M","0.36%"
"05/24/2024","478.22","467.62","479.85","466.30","12.02M","2.67%"
"05/23/2024","465.78","472.88","474.36","461.54","11.75M","-0.43%"
"05/22/2024","467.78","467.87","473.72","465.65","10.08M","0.68%"
"05/21/2024","464.63","467.12","470.70","462.27","11.74M","-0.90%"
"05/20/2024","468.84","469.95","473.20","467.04","11.75M","-0.65%"
"05/17/2024","471.91","470.83","472.80","468.42","10.81M","-0.28%"
"05/16/2024","473.23","475.00","477.69","472.75","16.61M","-1.73%"
"05/15/2024","481.54","474.98","482.50","471.20","13.10M","2.05%"
"05/14/2024","471.85","463.37","472.54","460.08","10.48M","0.82%"
"05/13/2024","468.01","472.75","473.35","462.85","14.67M","-1.72%"
"05/10/2024","476.20","477.09","477.50","469.60","10.75M","0.16%"
"05/09/2024","475.42","470.00","476.08","467.63","9.44M","0.60%"
"05/08/2024","472.60","463.50","475.58","463.00","11.68M","0.93%"
"05/07/2024","468.24","466.29","471.53","461.31","13.41M","0.55%"
"05/06/2024","465.68","455.58","466.16","453.34","15.09M","3.04%"
"05/03/2024","451.96","445.93","454.17","443.85","16.49M","2.33%"
"05/02/2024","441.68","438.84","443.96","432.28","15.22M","0.57%"
"05/01/2024","439.19","428.60","449.96","427.11","20.34M","2.10%"
"04/30/2024","430.17","431.05","439.62","429.72","18.43M","-0.57%"
"04/29/2024","432.62","439.56","439.76","428.56","21.50M","-2.41%"
"04/26/2024","443.29","441.46","446.44","431.96","32.69M","0.43%"
"04/25/2024","441.38","421.40","445.77","414.50","82.89M","-10.56%"
"04/24/2024","493.50","508.06","510.00","484.58","37.77M","-0.52%"
"04/23/2024","496.10","491.25","498.76","488.97","15.08M","2.98%"
"04/22/2024","481.73","489.71","492.01","473.40","17.27M","0.14%"
"04/19/2024","481.07","502.80","502.80","475.73","25.22M","-4.13%"
"04/18/2024","501.80","499.82","512.21","499.04","14.81M","1.54%"
"04/17/2024","494.17","503.10","503.16","487.14","12.19M","-1.12%"
"04/16/2024","499.76","498.11","504.77","497.11","9.85M","-0.09%"
"04/15/2024","500.23","516.72","518.53","497.28","13.51M","-2.28%"
"04/12/2024","511.90","517.75","520.19","509.33","11.98M","-2.15%"
"04/11/2024","523.16","521.11","523.86","517.29","10.37M","0.64%"
"04/10/2024","519.83","509.29","522.56","505.80","11.42M","0.57%"
"04/09/2024","516.90","522.23","525.87","506.74","10.88M","-0.45%"
"04/08/2024","519.25","529.28","531.49","518.89","13.26M","-1.53%"
"04/05/2024","527.34","516.85","530.70","514.41","19.26M","3.21%"
"04/04/2024","510.92","516.42","530.00","510.58","26.48M","0.82%"
"04/03/2024","506.74","498.93","507.24","498.75","12.10M","1.88%"
"04/02/2024","497.37","485.10","497.53","484.65","11.08M","1.23%"
"04/01/2024","491.35","487.20","497.43","481.78","9.25M","1.19%"
"03/28/2024","485.58","492.84","492.89","485.15","15.21M","-1.68%"
"03/27/2024","493.86","499.30","499.89","488.07","9.99M","-0.41%"
"03/26/2024","495.89","505.13","510.00","495.21","11.21M","-1.42%"
"03/25/2024","503.02","505.79","507.22","500.24","8.38M","-1.29%"
"03/22/2024","509.58","507.00","509.97","504.34","8.12M","0.36%"
"03/21/2024","507.76","514.71","515.04","506.01","9.71M","0.44%"
"03/20/2024","505.52","499.50","508.20","495.17","11.71M","1.87%"
"03/19/2024","496.24","488.17","496.63","481.28","10.90M","-0.15%"
"03/18/2024","496.98","491.91","497.42","486.81","11.76M","2.66%"
"03/15/2024","484.10","489.01","491.83","481.30","29.15M","-1.57%"
"03/14/2024","491.83","500.26","501.35","488.16","12.62M","-0.75%"
"03/13/2024","495.57","495.39","500.98","491.03","12.09M","-0.84%"
"03/12/2024","499.75","493.26","502.31","484.73","15.45M","3.34%"
"03/11/2024","483.59","497.01","497.32","476.00","20.43M","-4.42%"
"03/08/2024","505.95","514.19","523.57","499.35","18.60M","-1.22%"
"03/07/2024","512.19","503.28","519.85","501.38","18.59M","3.25%"
"03/06/2024","496.09","497.63","502.97","494.29","11.76M","1.20%"
"03/05/2024","490.22","495.00","495.58","487.89","15.33M","-1.60%"
"03/04/2024","498.19","503.00","504.42","496.42","12.32M","-0.82%"
"03/01/2024","502.30","492.11","504.25","491.85","15.88M","2.48%"
"02/29/2024","490.13","488.44","491.70","482.61","17.73M","1.26%"
"02/28/2024","484.02","485.00","491.05","482.75","12.72M","-0.62%"
"02/27/2024","487.05","479.98","487.27","479.92","10.81M","1.10%"
"02/26/2024","481.74","483.47","486.14","480.60","12.10M","-0.47%"
"02/23/2024","484.03","488.05","494.36","482.35","18.37M","-0.43%"
"02/22/2024","486.13","480.24","489.99","476.06","21.63M","3.87%"
"02/21/2024","468.03","466.50","469.00","461.79","12.98M","-0.79%"
"02/20/2024","471.75","469.71","476.18","466.56","18.02M","-0.33%"
"02/16/2024","473.32","478.11","478.96","469.21","23.32M","-2.21%"
"02/15/2024","484.03","475.28","488.62","472.22","24.21M","2.27%"
"02/14/2024","473.28","467.93","474.11","466.09","16.86M","2.86%"
"02/13/2024","460.12","456.87","467.89","455.09","20.92M","-1.87%"
"02/12/2024","468.90","468.19","479.14","466.58","19.38M","0.17%"
"02/09/2024","468.11","472.95","473.59","467.46","18.41M","-0.40%"
"02/08/2024","470.00","468.32","470.59","465.03","18.82M","0.09%"
"02/07/2024","469.59","458.00","471.52","456.18","23.07M","3.27%"
"02/06/2024","454.72","464.00","467.12","453.00","21.66M","-1.02%"
"02/05/2024","459.41","469.88","471.90","459.22","40.83M","-3.28%"
"02/02/2024","474.99","459.60","485.96","453.01","84.71M","20.32%"
"02/01/2024","394.78","393.94","400.50","393.05","29.73M","1.19%"
"01/31/2024","390.14","389.00","398.00","387.10","20.18M","-2.48%"
"01/30/2024","400.06","403.59","406.36","399.57","18.61M","-0.24%"
"01/29/2024","401.02","394.98","402.93","393.10","18.74M","1.75%"
"01/26/2024","394.14","394.35","396.79","391.59","13.16M","0.24%"
"01/25/2024","393.18","390.17","395.49","385.66","15.09M","0.63%"
"01/24/2024","390.70","390.00","396.15","387.81","15.60M","1.43%"
"01/23/2024","385.20","384.61","388.38","382.08","15.51M","0.90%"
"01/22/2024","381.78","387.95","390.35","381.16","17.68M","-0.44%"
"01/19/2024","383.45","379.00","384.36","377.97","21.67M","1.95%"
"01/18/2024","376.13","371.49","376.85","370.95","16.35M","2.11%"
"01/17/2024","368.37","366.30","368.54","358.61","12.72M","0.25%"
"01/16/2024","367.46","373.65","375.61","367.23","15.31M","-1.88%"
"01/12/2024","374.49","370.15","377.06","369.54","19.31M","1.30%"
"01/11/2024","369.67","372.13","372.78","362.93","17.21M","-0.22%"
"01/10/2024","370.47","360.17","372.94","359.08","22.12M","3.65%"
"01/09/2024","357.43","356.40","360.64","355.36","13.46M","-0.34%"
"01/08/2024","358.66","354.70","358.98","352.05","13.89M","1.91%"
"01/05/2024","351.95","346.99","353.50","346.26","13.75M","1.39%"
"01/04/2024","347.12","344.50","348.15","343.40","12.10M","0.77%"
"01/03/2024","344.47","344.98","347.95","343.17","15.45M","-0.53%"
"01/02/2024","346.29","351.32","353.16","340.01","19.04M","-2.17%"
"12/29/2023","353.96","358.99","360.00","351.82","14.99M","-1.22%"
"12/28/2023","358.32","359.70","361.90","357.81","11.80M","0.14%"
"12/27/2023","357.83","356.07","359.00","355.31","13.21M","0.85%"
"12/26/2023","354.83","354.99","356.98","353.45","9.90M","0.41%"
"12/22/2023","353.39","355.58","357.20","351.22","11.77M","-0.20%"
"12/21/2023","354.09","352.98","356.40","349.21","15.29M","1.38%"
"12/20/2023","349.28","348.65","354.96","347.79","16.37M","-0.31%"
"12/19/2023","350.36","345.58","353.60","345.12","17.73M","1.67%"
"12/18/2023","344.62","337.48","347.56","337.02","18.99M","2.90%"
"12/15/2023","334.92","331.99","338.66","331.22","31.78M","0.53%"
"12/14/2023","333.17","333.85","334.70","328.64","19.61M","-0.47%"
"12/13/2023","334.74","333.93","338.37","332.64","16.35M","0.16%"
"12/12/2023","334.22","324.60","334.47","324.56","18.49M","2.75%"
"12/11/2023","325.28","329.40","329.89","319.99","25.80M","-2.24%"
"12/08/2023","332.75","323.09","333.17","323.00","14.09M","1.89%"
"12/07/2023","326.59","317.77","328.24","317.77","15.91M","2.88%"
"12/06/2023","317.45","321.93","322.25","317.04","11.29M","-0.26%"
"12/05/2023","318.29","318.98","321.88","315.39","16.95M","-0.54%"
"12/04/2023","320.02","317.29","320.86","313.66","19.04M","-1.48%"
"12/01/2023","324.82","325.48","326.86","320.76","15.28M","-0.71%"
"11/30/2023","327.15","331.89","333.50","322.40","23.15M","-1.52%"
"11/29/2023","332.20","339.69","339.90","330.78","16.02M","-2.00%"
"11/28/2023","338.99","333.40","339.38","333.40","12.64M","1.28%"
"11/27/2023","334.70","336.18","339.90","334.20","15.68M","-1.04%"
"11/24/2023","338.23","340.13","341.86","336.77","5.47M","-0.95%"
"11/22/2023","341.49","339.21","342.92","338.58","10.72M","1.34%"
"11/21/2023","336.98","338.33","339.90","335.90","12.03M","-0.88%"
"11/20/2023","339.97","334.89","341.87","334.19","16.98M","1.47%"
"11/17/2023","335.04","330.26","335.50","329.35","14.52M","0.25%"
"11/16/2023","334.19","329.37","334.58","326.38","18.93M","0.44%"
"11/15/2023","332.71","337.93","338.40","330.02","14.53M","-1.07%"
"11/14/2023","336.31","334.54","338.10","333.33","17.18M","2.16%"
"11/13/2023","329.19","326.20","332.33","325.70","16.91M","0.13%"
"11/10/2023","328.77","319.94","329.10","319.46","19.12M","2.56%"
"11/09/2023","320.55","319.42","324.18","318.80","16.10M","0.24%"
"11/08/2023","319.78","318.14","321.33","314.88","13.61M","0.30%"
"11/07/2023","318.82","317.06","321.00","315.12","14.06M","0.96%"
"11/06/2023","315.80","315.98","318.33","314.45","12.89M","0.38%"
"11/03/2023","314.60","312.55","315.55","311.02","16.76M","1.20%"
"11/02/2023","310.87","317.30","318.82","308.33","21.63M","-0.31%"
"11/01/2023","311.85","301.85","312.74","301.85","20.43M","3.51%"
"10/31/2023","301.27","303.31","303.68","296.86","19.43M","-0.46%"
"10/30/2023","302.66","299.09","309.40","299.05","28.44M","2.00%"
"10/27/2023","296.73","294.48","299.31","292.97","29.60M","2.91%"
"10/26/2023","288.35","295.00","295.00","279.40","66.68M","-3.73%"
"10/25/2023","299.53","310.00","310.88","298.84","42.19M","-4.17%"
"10/24/2023","312.55","316.78","318.35","310.63","19.53M","-0.46%"
"10/23/2023","314.01","309.50","317.36","307.26","17.80M","1.74%"
"10/20/2023","308.65","314.14","315.30","306.47","22.31M","-1.33%"
"10/19/2023","312.81","319.88","321.89","311.75","18.71M","-1.31%"
"10/18/2023","316.97","321.39","325.94","315.56","16.85M","-2.17%"
"10/17/2023","324.00","318.18","324.40","317.30","16.39M","0.89%"
"10/16/2023","321.15","318.64","321.82","315.52","16.54M","2.05%"
"10/13/2023","314.69","323.53","325.05","312.37","21.36M","-2.92%"
"10/12/2023","324.16","328.00","330.54","322.69","20.53M","-1.12%"
"10/11/2023","327.82","323.01","328.83","322.95","22.04M","1.86%"
"10/10/2023","321.84","319.12","324.66","318.16","19.04M","1.09%"
"10/09/2023","318.36","312.50","320.33","311.82","22.50M","0.93%"
"10/06/2023","315.43","301.44","316.31","300.91","21.80M","3.49%"
"10/05/2023","304.79","304.63","306.21","299.50","19.13M","-0.26%"
"10/04/2023","305.58","298.73","306.90","298.50","16.88M","1.54%"
"10/03/2023","300.94","304.26","306.77","299.64","17.36M","-1.92%"
"10/02/2023","306.82","302.74","307.18","301.63","16.27M","2.20%"
"09/29/2023","300.21","307.38","310.64","299.36","25.37M","-1.23%"
"09/28/2023","303.96","298.93","306.33","296.70","22.17M","2.09%"
"09/27/2023","297.74","300.45","301.30","286.79","36.43M","-0.41%"
"09/26/2023","298.96","297.66","300.30","296.01","19.42M","-0.62%"
"09/25/2023","300.83","295.64","300.95","293.70","18.99M","0.59%"
"09/22/2023","299.08","299.30","305.38","298.27","25.37M","1.13%"
"09/21/2023","295.73","295.70","300.26","293.27","21.32M","-1.31%"
"09/20/2023","299.67","305.05","308.06","299.43","19.38M","-1.77%"
"09/19/2023","305.07","302.48","306.17","299.81","15.93M","0.83%"
"09/18/2023","302.55","298.19","303.60","297.80","14.23M","0.75%"
"09/15/2023","300.31","311.61","312.00","298.75","28.13M","-3.66%"
"09/14/2023","311.72","306.74","312.87","305.03","19.34M","2.18%"
"09/13/2023","305.06","302.36","307.18","301.32","13.21M","1.13%"
"09/12/2023","301.66","306.33","308.66","300.23","13.48M","-1.92%"
"09/11/2023","307.56","301.41","309.04","301.28","19.49M","3.25%"
"09/08/2023","297.89","299.22","305.25","296.78","17.57M","-0.26%"
"09/07/2023","298.67","298.00","307.05","292.22","33.75M","-0.17%"
"09/06/2023","299.17","301.71","303.30","295.66","15.42M","-0.33%"
"09/05/2023","300.15","297.02","301.39","295.51","14.96M","1.27%"
"09/01/2023","296.38","299.37","301.74","294.47","12.84M","0.17%"
"08/31/2023","295.89","295.80","301.10","295.66","17.23M","0.27%"
"08/30/2023","295.10","297.17","298.29","293.43","17.72M","-0.97%"
"08/29/2023","297.99","288.58","299.15","288.18","20.84M","2.66%"
"08/28/2023","290.26","288.00","291.45","285.80","14.24M","1.67%"
