"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","422.42","428.00","429.05","417.39","20.09M","-1.01%"
"07/29/2024","426.73","431.58","432.15","424.70","15.13M","0.34%"
"07/26/2024","425.27","418.20","428.92","417.27","23.58M","1.64%"
"07/25/2024","418.40","428.80","429.80","417.51","29.94M","-2.45%"
"07/24/2024","428.90","440.45","441.48","427.58","26.81M","-3.59%"
"07/23/2024","444.85","443.89","448.39","443.10","13.11M","0.43%"
"07/22/2024","442.94","441.79","444.60","438.91","15.81M","1.33%"
"07/19/2024","437.11","433.10","441.14","432.00","20.94M","-0.74%"
"07/18/2024","440.37","444.34","444.65","434.40","20.79M","-0.71%"
"07/17/2024","443.52","442.59","444.85","439.18","21.75M","-1.33%"
"07/16/2024","449.52","454.22","454.30","446.66","17.18M","-0.98%"
"07/15/2024","453.96","453.30","457.26","451.43","14.43M","0.09%"
"07/12/2024","453.55","454.33","456.36","450.64","16.32M","-0.25%"
"07/11/2024","454.70","462.98","464.78","451.55","23.11M","-2.48%"
"07/10/2024","466.25","461.22","466.46","458.86","18.20M","1.46%"
"07/09/2024","459.54","467.00","467.33","458.00","17.23M","-1.44%"
"07/08/2024","466.24","466.55","467.70","464.46","12.96M","-0.28%"
"07/05/2024","467.56","459.61","468.35","458.96","16.00M","1.47%"
"07/03/2024","460.77","458.19","461.02","457.88","9.93M","0.32%"
"07/02/2024","459.28","453.20","459.59","453.11","13.98M","0.56%"
"07/01/2024","456.73","448.66","457.37","445.66","17.66M","2.19%"
"06/28/2024","446.95","453.07","455.38","446.41","28.36M","-1.30%"
"06/27/2024","452.85","452.17","456.17","451.77","14.81M","0.15%"
"06/26/2024","452.16","449.00","453.60","448.19","16.51M","0.27%"
"06/25/2024","450.95","448.25","451.42","446.75","16.75M","0.73%"
"06/24/2024","447.67","449.80","452.75","446.41","15.91M","-0.47%"
"06/21/2024","449.78","447.38","450.58","446.51","34.49M","0.92%"
"06/20/2024","445.70","446.30","446.53","441.27","19.88M","-0.14%"
"06/18/2024","446.34","449.70","450.14","444.89","17.11M","-0.45%"
"06/17/2024","448.37","442.58","450.94","440.72","20.79M","1.31%"
"06/14/2024","442.57","438.27","443.14","436.72","13.58M","0.22%"
"06/13/2024","441.58","440.85","443.39","439.37","15.96M","0.12%"
"06/12/2024","441.06","435.32","443.40","433.25","22.37M","1.94%"
"06/11/2024","432.68","425.48","432.82","425.25","14.55M","1.12%"
"06/10/2024","427.87","424.70","428.08","423.89","14.00M","0.95%"
"06/07/2024","423.85","426.20","426.28","423.00","13.62M","-0.16%"
"06/06/2024","424.52","424.01","425.31","420.58","14.86M","0.12%"
"06/05/2024","424.01","417.81","424.08","416.30","16.99M","1.91%"
"06/04/2024","416.07","412.43","416.44","409.67","14.35M","0.62%"
"06/03/2024","413.52","415.52","416.43","408.92","17.48M","-0.39%"
"05/31/2024","415.13","416.75","416.75","404.51","48.00M","0.11%"
"05/30/2024","414.67","424.30","424.30","414.24","28.42M","-3.38%"
"05/29/2024","429.17","425.69","430.94","425.69","15.52M","-0.27%"
"05/28/2024","430.32","429.63","430.82","426.60","15.72M","0.04%"
"05/24/2024","430.16","427.19","431.05","424.41","11.86M","0.74%"
"05/23/2024","427.00","432.97","433.60","425.42","17.21M","-0.82%"
"05/22/2024","430.52","430.09","432.41","427.13","18.07M","0.34%"
"05/21/2024","429.04","426.83","432.97","424.85","21.45M","0.87%"
"05/20/2024","425.34","420.21","426.77","419.99","16.27M","1.22%"
"05/17/2024","420.21","422.54","422.92","418.02","15.35M","-0.19%"
"05/16/2024","420.99","421.80","425.42","420.35","17.53M","-0.49%"
"05/15/2024","423.08","417.90","423.81","417.27","22.24M","1.57%"
"05/14/2024","416.56","412.02","417.49","411.55","15.11M","0.69%"
"05/13/2024","413.72","418.01","418.35","410.82","15.44M","-0.25%"
"05/10/2024","414.74","412.93","415.38","411.80","13.40M","0.59%"
"05/09/2024","412.32","410.57","412.72","409.10","14.69M","0.43%"
"05/08/2024","410.54","408.17","412.23","406.71","11.79M","0.29%"
"05/07/2024","409.34","414.66","414.67","409.09","20.02M","-1.02%"
"05/06/2024","413.54","408.76","413.93","406.37","17.00M","1.69%"
"05/03/2024","406.66","402.28","407.15","401.86","17.45M","2.22%"
"05/02/2024","397.84","397.66","399.93","394.65","17.71M","0.73%"
"05/01/2024","394.94","392.61","401.72","390.31","23.56M","1.44%"
