"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","118.17","116.36","118.58","116.27","12.48M","1.78%"
"07/29/2024","116.10","116.16","117.39","115.38","8.86M","-1.05%"
"07/26/2024","117.33","116.77","118.03","116.47","11.25M","-0.09%"
"07/25/2024","117.43","115.17","118.03","114.56","17.02M","2.10%"
"07/24/2024","115.01","113.76","115.20","113.07","14.93M","1.41%"
"07/23/2024","113.41","114.81","115.17","113.17","11.25M","-1.61%"
"07/22/2024","115.27","115.18","115.94","114.58","12.07M","-0.69%"
"07/19/2024","116.07","118.59","118.88","115.87","16.16M","-2.30%"
"07/18/2024","118.80","117.95","119.92","117.43","13.03M","0.99%"
"07/17/2024","117.64","116.74","118.18","116.55","13.60M","1.38%"
"07/16/2024","116.04","114.35","116.35","113.71","13.61M","0.72%"
"07/15/2024","115.21","114.27","116.16","113.57","13.03M","1.71%"
"07/12/2024","113.27","113.99","114.15","112.63","11.68M","0.02%"
"07/11/2024","113.25","111.43","113.32","110.93","13.08M","1.19%"
"07/10/2024","111.92","110.92","111.96","110.42","10.00M","0.88%"
"07/09/2024","110.94","111.11","112.54","110.62","11.73M","-1.11%"
"07/08/2024","112.18","112.39","113.55","111.42","13.35M","-1.05%"
"07/05/2024","113.37","114.61","114.63","112.68","12.63M","-1.21%"
"07/03/2024","114.76","114.27","115.66","114.27","7.73M","0.51%"
"07/02/2024","114.18","115.90","115.94","113.49","13.33M","-0.68%"
"07/01/2024","114.96","115.71","116.74","114.53","11.97M","-0.14%"
"06/28/2024","115.12","115.86","116.54","114.68","24.57M","0.19%"
"06/27/2024","114.90","114.99","114.99","114.11","16.81M","0.43%"
"06/26/2024","114.41","114.39","114.82","113.14","15.77M","0.03%"
"06/25/2024","114.37","114.11","114.55","113.46","16.21M","0.28%"
"06/24/2024","114.05","111.64","114.53","111.64","16.27M","2.97%"
"06/21/2024","110.76","111.90","112.69","110.76","52.22M","-0.88%"
"06/20/2024","111.74","109.91","112.62","109.59","17.43M","2.16%"
